"MeetID","MeetPath","Federation","Date","MeetCountry","MeetState","MeetTown","MeetName","Year","lat","long","NumberParticipants","x","y","z"
4134,"pa/1004","PA","17-04-10","Australia","WA","Cannington","Western Australia Open",2010,-32.017,115.934,5,-0.370812776234793,0.762506880124757,-0.530170861839326
4135,"pa/1005","PA","11-04-10","Australia","VIC","Hawthorn","Victorian Open",2010,-37.826,145.034,29,-0.64729793175872,0.452670687008583,-0.613265551506084
4136,"pa/1006","PA","28-11-10","Australia","VIC","Hawthorn","Victorian Extravaganza",2010,-37.826,145.034,29,-0.64729793175872,0.452670687008583,-0.613265551506084
4137,"pa/1007","PA","12-06-10","Australia","TAS","Wynyard","Tasmanian Open",2010,-41,145.7166671,7,-0.623587988218683,0.425117126718518,-0.656059028990507
4138,"pa/1008","PA","28-02-10","Australia","NSW","North Sydney","Sydney Powerlifting and Bench Press Open",2010,-33.83965,151.20541,23,-0.72789749515552,0.400075536952876,-0.55687054265618
4139,"pa/1009","PA","30-01-10","Australia","QLD","St Lucia","Summer UQ Novice Competition",2010,-27.5,153,15,-0.790332439387555,0.402694491428973,-0.461748613235034
4140,"pa/1010","PA","19-09-10","Australia","VIC","Hawthorn","Starting Strength Challenge",2010,-37.826,145.034,27,-0.64729793175872,0.452670687008583,-0.613265551506084
4141,"pa/1011","PA","22-05-10","Australia","NSW","Singleton","Singleton Strength Triathlon",2010,-32.5694741,151.1788155,26,-0.738347935772805,0.406265788850813,-0.538321868912517
4142,"pa/1012","PA","27-10-10","Australia","QLD","St Lucia","SE Challenge",2010,-27.5,153,25,-0.790332439387555,0.402694491428973,-0.461748613235034
4143,"pa/1013","PA","09-10-10","Australia","SA","Mannum","Riverland Challenge",2010,-34.9130677,139.3052195,9,-0.621735061881552,0.53467798547147,-0.572332914202314
4144,"pa/1014","PA","27-03-10","Australia","QLD","Brisbane","2010 Queensland Open",2010,-27.4697707,153.0251235,29,-0.790725944533525,0.402458351089035,-0.461280561350963
4145,"pa/1015","PA","12-06-10","Australia","WA","Karratha","Pilbara Powerfest",2010,-20.73535,116.8458043,6,-0.42233950394111,0.83443189095353,-0.354051921009466
4146,"pa/1016","PA","17-10-10","Australia","NSW","North Sydney","North Sydney Bench Press Competition",2010,-33.83965,151.20541,21,-0.72789749515552,0.400075536952876,-0.55687054265618
4147,"pa/1017","PA","20-02-10","Australia","VIC","Campbellfield","Melbourne Summer Bash",2010,-37.673,144.957,21,-0.648027461912004,0.454478881675482,-0.611154116994142
4148,"pa/1018","PA","04-12-10","Australia","NSW","Bondi","Matti Tikka Challenge",2010,-33.89102,151.277726,46,-0.727963733519401,0.398916406064555,-0.557615013833948
4149,"pa/1019","PA","20-03-10","Australia","TAS","Launceston","Launceston Open",2010,-41.4332215,147.1440875,8,-0.629799268777545,0.406748329257946,-0.661746686952899
4150,"pa/1020","PA","11-09-10","Australia","TAS","Launceston","Launceston Novice Comp",2010,-41.4332215,147.1440875,6,-0.629799268777545,0.406748329257946,-0.661746686952899
4151,"pa/1021","PA","04-09-10","Australia","NSW","Toronto","Lake Macquarie Open",2010,-33.016194,151.582583,28,-0.73747866052076,0.399042994061497,-0.544876053948915
4152,"pa/1022","PA","17-09-10","Australia","QLD","Townsville","John Hill Cup",2010,-19.2589635,146.8169483,11,-0.790089705290319,0.516686490115395,-0.329838336956897
4153,"pa/1023","PA","27-06-10","Australia","VIC","Hawthorn","Hawk Novice Comp",2010,-37.826,145.034,23,-0.64729793175872,0.452670687008583,-0.613265551506084
4154,"pa/1024","PA","27-03-10","Australia","NSW","Toronto","Bristow Open",2010,-33.016194,151.582583,28,-0.73747866052076,0.399042994061497,-0.544876053948915
4155,"pa/1025","PA","06-06-10","Australia","NSW","Sydney","Bondi Beach Lift",2010,-33.8688197,151.2092955,39,-0.727676069074416,0.399889581832906,-0.557293334643354
4156,"pa/1026","PA","14-03-10","Australia","SA","Adelaide","Adelaide Classic",2010,-34.9284989,138.6007456,7,-0.614998509839381,0.542179897222918,-0.572553745898747
4157,"pa/1027","PA","12-06-10","Australia","QLD","St Lucia","Acacia Park Novice Comp",2010,-27.5,153,18,-0.790332439387555,0.402694491428973,-0.461748613235034
4158,"pa/1028","PA","17-04-10","Australia","QLD","Townsville","2010 Suncorp North Queensland Games International",2010,-19.2589635,146.8169483,10,-0.790089705290319,0.516686490115395,-0.329838336956897
4159,"pa/1029","PA","11-04-10","Australia","QLD","Townsville","2010 Suncorp North Queensland Games",2010,-19.2589635,146.8169483,7,-0.790089705290319,0.516686490115395,-0.329838336956897
4160,"pa/1030","PA","24-07-10","Australia","VIC","Melbourne","2010 Australian Open Powerlifting and Bench Press Championships and Intervarsity Championships",2010,-37.8136276,144.9630576,83,-0.646845363234025,0.453547827115086,-0.61309497191041
4161,"pa/1031","PA","08-05-10","Australia","SA","Mannum","2010 Australian Juniors and Masters Powerlifting and Bench Press Championships and ABSF Championships and South Australian Powerlifting and Bench Press Open",2010,-34.9130677,139.3052195,45,-0.621735061881552,0.53467798547147,-0.572332914202314
4162,"pa/1101","PA","18-09-11","Australia","VIC","Hawthorn","Starting Strength Challenge",2011,-37.826,145.034,25,-0.64729793175872,0.452670687008583,-0.613265551506084
4163,"pa/1102","PA","27-02-11","Australia","VIC","North Sydney","Sydney Open",2011,-33.8373959,151.2034248,31,-0.727902831076183,0.400111309958601,-0.556837865230526
4164,"pa/1103","PA","27-03-11","Australia","VIC","Hawthorn","Melbourne Powerlifting and Bench Press Open",2011,-37.826,145.034,13,-0.64729793175872,0.452670687008583,-0.613265551506084
4165,"pa/1104","PA","24-09-11","Australia","TAS","Launceston","Tassie Tough Cup",2011,-41.4332215,147.1440875,2,-0.629799268777545,0.406748329257946,-0.661746686952899
4166,"pa/1105","PA","17-07-11","Australia","NSW","Sydney","Hercules of the West RAW Championships",2011,-33.8688197,151.2092955,27,-0.727676069074416,0.399889581832906,-0.557293334643354
