"","MeetID","MeetPath","Federation","Date","MeetCountry","MeetState","MeetTown","MeetName","Year","lat","long"
161,4204,"pa/1210","PA","15-07-12","Australia","NSW","West Sydney","Western Sydney Hardcore Challenge",2012,-33.8688197,151.2092955
162,4205,"pa/1211","PA","29-04-12","Australia","WA","Perth","WA Open",2012,-31.9505269,115.8604572
163,4206,"pa/1212","PA","25-11-12","Australia","VIC","Melbourne","Victorian Extravaganza",2012,-37.8136276,144.9630576
164,4207,"pa/1213","PA","19-08-12","Australia","NSW","Sydney","Total Strength Elite Max",2012,-33.8688197,151.2092955
165,4208,"pa/1214","PA","18-10-12","Australia","NSW","North Sydney","Sydney Heavy Metal Challenge",2012,-33.83965,151.20541
166,4209,"pa/1215","PA","29-01-12","Australia","QLD","Brisbane","2012 Summer UQ Novice Comp",2012,-27.4697707,153.0251235
167,4210,"pa/1216","PA","02-06-12","Australia","NSW","Newcastle","Strength Republic Open",2012,-32.9282712,151.7816802
168,4211,"pa/1217","PA","07-07-12","Australia","WA","Mt Hawthorn","Strength Club Open 2012",2012,-31.921,115.838
169,4212,"pa/1218","PA","24-11-12","Australia","WA","Mt Hawthorn","Strength Club Classic",2012,-31.921,115.838
170,4213,"pa/1219","PA","22-04-12","Australia","NSW","North Sydney","Performance Sports Open",2012,-33.83965,151.20541
171,4214,"pa/1220","PA","19-05-12","Australia","NSW","Singleton","Singleton Strength Triathlon",2012,-32.5694741,151.1788155
172,4215,"pa/1221","PA","26-02-12","Australia","NSW","North Sydney","North Sydney Open",2012,-33.83965,151.20541
173,4216,"pa/1222","PA","21-10-12","Australia","NSW","North Sydney","Monster Bench Press Competition",2012,-33.83965,151.20541
174,4217,"pa/1223","PA","03-03-12","Australia","VIC","Merbein","Mildura Open",2012,-34.1613339,142.0475029
175,4218,"pa/1224","PA","12-02-12","Australia","VIC","Melbourne","Melbourne Summer Bash",2012,-37.8136276,144.9630576
176,4219,"pa/1225","PA","07-10-12","Australia","NSW","West Sydney","Hercules of the West",2012,-33.8688197,151.2092955
177,4220,"pa/1226","PA","17-03-12","Australia","NSW","Caves Beach","Bristow Open",2012,-33.1063425,151.6450391
178,4221,"pa/1227","PA","10-06-12","Australia","QLD","Brisbane","Brisbane Cup",2012,-27.4697707,153.0251235
179,4222,"pa/1228","PA","12-08-12","Australia","QLD","Brisbane","Acacia Park Winter Novice Competition",2012,-27.4697707,153.0251235
180,4223,"pa/1229","PA","14-10-12","Australia","QLD","Brisbane","Acacia Park Autumn Novice Comp",2012,-27.4697707,153.0251235
181,4224,"pa/1230","PA","24-06-12","Australia","QLD","Townsville","2012 North Queensland Games",2012,-19.2589635,146.8169483
182,4225,"pa/1231","PA","30-03-12","Australia","VIC","Melbourne","2012 Australian Raw Powerlifting and Bench Press Championships and Australian Blind Championships",2012,-37.8136276,144.9630576
183,4226,"pa/1232","PA","28-07-12","Australia","NSW","Newcastle","2012 Australian Powerlifting and Bench Press Championships",2012,-32.9282712,151.7816802
184,4527,"proraw/004","ProRaw","09-11-12","Australia","VIC","Melbourne","ProRawFour",2012,-37.8136276,144.9630576
185,1239,"gpc-aus/2013-nats-men-heavy","GPC","16-06-13","Australia","VIC","Melbourne","Nationals Mens Over 100kg",2013,-37.8136276,144.9630576
186,1240,"gpc-aus/2013-nats-men-light","GPC","15-06-13","Australia","VIC","Melbourne","Nationals Mens Under 90kg",2013,-37.8136276,144.9630576
187,1241,"gpc-aus/2013-nats-women","GPC","16-06-13","Australia","VIC","Melbourne","Nationals Women",2013,-37.8136276,144.9630576
188,4227,"pa/1301","PA","23-03-13","Australia","VIC","Melbourne","2013 Raw Pacific Invitational",2013,-37.8136276,144.9630576
189,4228,"pa/1302","PA","14-09-13","Australia","QLD","Gold Coast","Gold Coast Barbell Beach Bash",2013,-28.016667,153.4
190,4229,"pa/1303","PA","13-07-13","Australia","QLD","Townsville","2013 Australian Equipped Powerlifting and Bench Press Championships",2013,-19.2589635,146.8169483
191,4230,"pa/1304","PA","22-03-13","Australia","VIC","Melbourne","2013 Australian Raw Powerlifting and Bench Press Championships and Blind Championships",2013,-37.8136276,144.9630576
192,4231,"pa/1305","PA","12-10-13","Australia","VIC","Geelong","2013 Australian Masters Games",2013,-38.1499181,144.3617186
193,4232,"pa/1306","PA","20-10-13","Australia","NSW","Sydney","HydroFit Open II Narellan",2013,-33.8688197,151.2092955
194,4233,"pa/1307","PA","14-09-13","Australia","NSW","Toronto","Toronto Open Championships",2013,-33.016194,151.582583
195,4234,"pa/1308","PA","27-07-13","Australia","WA","Mt Hawthorn","West Australian Open",2013,-31.921,115.838
196,4235,"pa/1309","PA","20-04-13","Australia","NSW","Sydney","Total Strength Elite Max II",2013,-33.8688197,151.2092955
197,4236,"pa/1310","PA","18-05-13","Australia","NSW","Singleton","Singleton Strength Triathlon",2013,-32.5694741,151.1788155
198,4237,"pa/1311","PA","26-10-13","Australia","WA","Rockingham","The Assassin Open",2013,-32.281,115.727
199,4238,"pa/1312","PA","24-11-13","Australia","NSW","Sydney","Matti Tikka Challenge",2013,-33.8688197,151.2092955
200,4239,"pa/1313","PA","17-02-13","Australia","VIC","Hawthorn","Melbourne Summer Bash",2013,-37.826,145.034
201,4240,"pa/1314","PA","22-06-13","Australia","SA","Mannum","South Australian Open",2013,-34.9130677,139.3052195
202,4241,"pa/1315","PA","05-10-13","Australia","QLD","Brisbane","Return of the Iron",2013,-27.4697707,153.0251235
203,4242,"pa/1316","PA","16-11-13","Australia","QLD","Townsville","Tropical Strength Challenge",2013,-19.2589635,146.8169483
204,4243,"pa/1317","PA","10-03-13","Australia","QLD","Gold Coast","Gold Coast Barbell Open",2013,-28.016667,153.4
205,4244,"pa/1318","PA","01-06-13","Australia","NSW","Caves Beach","Newcastle Open",2013,-33.1063425,151.6450391
206,4245,"pa/1319","PA","05-10-13","Australia","VIC","Merbein","Murray River Challenge",2013,-34.1613339,142.0475029
207,4246,"pa/1320","PA","09-02-13","Australia","VIC","Mildura","Mildura Open",2013,-34.2080167,142.1245535
208,4247,"pa/1321","PA","27-04-13","Australia","QLD","Brisbane","Iron Fest Open",2013,-27.4697707,153.0251235
209,4248,"pa/1322","PA","26-05-13","Australia","VIC","Hawthorn","Hawk Challenge",2013,-37.826,145.034
210,4249,"pa/1323","PA","01-12-13","Australia","QLD","Brisbane","UQ Challenge",2013,-27.4697707,153.0251235
211,4250,"pa/1324","PA","23-02-13","Australia","QLD","Townsville","Tropical Frenzy",2013,-19.2589635,146.8169483
212,4251,"pa/1325","PA","20-01-13","Australia","QLD","Brisbane","Summer UQ Novice",2013,-27.4697707,153.0251235
213,4252,"pa/1326","PA","10-08-13","Australia","QLD","Brisbane","Strength Sports Challenge",2013,-27.4697707,153.0251235
214,4253,"pa/1327","PA","27-04-13","Australia","WA","Mt Hawthorn","Strength Club Open 2013",2013,-31.921,115.838
215,4254,"pa/1328","PA","23-02-13","Australia","NSW","Sydney","Southwest Strength Challenge",2013,-33.8688197,151.2092955
216,4255,"pa/1329","PA","03-11-13","Australia","ACT","Canberra","OneRepMax",2013,-35.2809368,149.1300092
217,4256,"pa/1330","PA","14-07-13","Australia","QLD","Townsville","North Queensland Challenge",2013,-19.2589635,146.8169483
218,4257,"pa/1331","PA","25-08-13","Australia","NSW","Penrith","His and Her's Power Challenge",2013,-33.75,150.7
219,4258,"pa/1332","PA","30-06-13","Australia","NSW","South Granville","Hercules of the West",2013,-33.8577224,151.0107506
220,4259,"pa/1333","PA","12-10-13","Australia","VIC","Geelong","Geelong Open",2013,-38.1499181,144.3617186
221,4260,"pa/1334","PA","27-04-13","Australia","ACT","Canberra","Capital Challenge",2013,-35.2809368,149.1300092
