MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
4537,raw/1701,RAW,2017-03-18,USA,VA,Zion Crossroads,United States Single Lifts Open
4538,raw/1702,RAW,2017-04-29,Canada,BC,Squamish,Fist Full of Steel
4539,raw/1703,RAW,2017-03-18,USA,IA,Council Bluffs,Midwest Open
4540,raw/1704,RAW,2017-04-28,USA,OH,,Iron Spring Classic
4541,raw/1705,RAW,2017-01-07,USA,VA,Fredericksburg,Virginia State Single Lifts
4542,raw/1706,RAW,2017-02-18,USA,VA,Midlothian,Southside Regional Classic
4543,raw/1707,RAW,2017-08-19,USA,VA,Vienna,Show of Strength
4544,raw/1708,RAW,2017-08-19,Canada,AB,Medicine Hat,Grind Powerlifting Challenge
4545,raw/1709,RAW,2017-08-12,USA,VA,Virginia Beach,East Coast Bar Benders
4546,raw/1710,RAW,2017-09-23,USA,VA,Zion Crossroads,Mid Atlantic Regional
4547,rps/1101,RPS,2011-09-10,USA,PA,,2011 RPS Pennsylvania State Powerlifting Championships
4548,rps/1102,RPS,2011-10-22,USA,MA,Attleboro,15th Annual RPS Power Challenge Boston
4549,rps/1103,RPS,2011-11-05,USA,NJ,Atlantic City,2011 RPS Autumn Apocalypse
4550,rps/1104,RPS,2011-12-03,USA,PA,Allentown,2011 RPS Christmas Carnage
4551,rps/1201,RPS,2012-01-28,USA,NJ,Newark,2012 North America and New Jersey State Championships
4552,rps/1202,RPS,2012-02-18,USA,PA,Allentown,2012 Barno-Newman and RPS Master and Police Nationals
4553,rps/1203,RPS,2012-03-31,USA,RI,Johnston,3rd Annual RPS New England Revolution
4554,rps/1204,RPS,2012-04-14,USA,PA,York,14th Annual RPS PowerPalooza
4555,rps/1205,RPS,2012-05-05,USA,VA,Winchester,2012 RPS Virginia State Powerlifting Championships
4556,rps/1206,RPS,2012-05-12,USA,NY,Harrison,2012 RPS Halliwell Strength Spring Meet
4557,rps/1207,RPS,2012-05-19,USA,NJ,Deptford,2012 RPS South Jersey Rumble
4558,rps/1208,RPS,2012-06-02,USA,PA,Bristol,2012 RPS Philly Push Pull
4559,rps/1209,RPS,2012-06-23,USA,PA,Boyertown,2012 RPS Backyard Bash
4560,rps/1210,RPS,2012-06-30,USA,CT,Hartford,2012 RPS Battle of Champions CT State Championships
